No,キー,組織,学校,都道府県,市区町村,校種
1,1st-jh-higashine.edumap.jp,2:東根市教育委員会,15:東根市立第一中学校,06:山形県,062111:東根市,中学校
2,2nd-jh-higashine.edumap.jp,2:東根市教育委員会,16:東根市立第二中学校,06:山形県,062111:東根市,中学校
3,3rd-jh-higashine.edumap.jp,2:東根市教育委員会,17:東根市立第三中学校,06:山形県,062111:東根市,中学校
4,ootomi-jh-higashine.edumap.jp,2:東根市教育委員会,18:東根市立大富中学校,06:山形県,062111:東根市,中学校
5,jinmachi-jh-higashine.edumap.jp,2:東根市教育委員会,19:東根市立神町中学校,06:山形県,062111:東根市,中学校
6,keyaki-higashine.edumap.jp,2:東根市教育委員会,5:東根市立東根小学校,06:山形県,062111:東根市,小学校
7,tougo-higashine.edumap.jp,2:東根市教育委員会,6:東根市立東郷小学校,06:山形県,062111:東根市,小学校
8,takasaki-higashine.edumap.jp,2:東根市教育委員会,7:東根市立高崎小学校,06:山形県,062111:東根市,小学校
9,jinmachi-higashine.edumap.jp,2:東根市教育委員会,8:東根市立神町小学校,06:山形県,062111:東根市,小学校
10,ootomi-higashine.edumap.jp,2:東根市教育委員会,10:東根市立大富小学校,06:山形県,062111:東根市,小学校
11,odashima-higashine.edumap.jp,2:東根市教育委員会,11:東根市立小田島小学校,06:山形県,062111:東根市,小学校
12,nagatoro-higashine.edumap.jp,2:東根市教育委員会,12:東根市立長瀞小学校,06:山形県,062111:東根市,小学校
13,chubu-higashine.edumap.jp,2:東根市教育委員会,13:東根市立東根中部小学校,06:山形県,062111:東根市,小学校
14,ohmori-higashine.edumap.jp,2:東根市教育委員会,14:東根市立大森小学校,06:山形県,062111:東根市,小学校
15,shibahinotsume.edumap.jp,4:川口市立芝樋ノ爪小学校,21:川口市立芝樋ノ爪小学校,11:埼玉県,112038:川口市,小学校
16,fermata-tsurumine-nursery-school.edumap.jp,5:社会福祉法人愛和,308:鶴嶺フェルマータ保育園,14:神奈川県,142077:茅ヶ崎市,保育園
17,fermata-tsumada-s-nursery.edumap.jp,5:社会福祉法人愛和,20:妻田フェルマータ小規模保育園,14:神奈川県,142123:厚木市,保育園
18,fermata-sekiguchi-s-nursery.edumap.jp,5:社会福祉法人愛和,44:関口フェルマータ小規模保育園,14:神奈川県,142123:厚木市,保育園
19,kujira-tekurada-hoikuen-natori-m.edumap.jp,6:社会福祉法人くじら,117:手倉田くじら保育園,04:宮城県,042072:名取市,保育園
20,kujira-baobabu-hoikuen-osaki-mg.edumap.jp,6:社会福祉法人くじら,116:バオバブ保育園,04:宮城県,042153:大崎市,保育園
21,kujira-omusubi-kodomoen-niigata.edumap.jp,6:社会福祉法人くじら,95:おむすびこども園,15:新潟県,151025:新潟市東区,認定こども園
22,kujira-suika-hoikuen-niigata.edumap.jp,6:社会福祉法人くじら,93:すいか保育園,15:新潟県,151076:新潟市西区,保育園
23,kujira-suika-s-hoikuen-niigata.edumap.jp,6:社会福祉法人くじら,94:すいか小規模保育園,15:新潟県,151076:新潟市西区,保育園
24,kujira-ishiyama-hoikuen-otsu-sg.edumap.jp,6:社会福祉法人くじら,106:石山くじら保育園,25:滋賀県,252018:大津市,保育園
25,kujira-ishiyama-s-hoikuen-ots-sg.edumap.jp,6:社会福祉法人くじら,107:石山くじら小規模保育園,25:滋賀県,252018:大津市,保育園
26,kujira-katata-hoikuen-otsu-sg.edumap.jp,6:社会福祉法人くじら,108:堅田くじら保育園,25:滋賀県,252018:大津市,保育園
27,kujira-karahashi-s-hoikuen-ots.edumap.jp,6:社会福祉法人くじら,110:唐橋くじら小規模保育園,25:滋賀県,252018:大津市,保育園
28,kujira-biwako-hoikuen-kusatsu-sg.edumap.jp,6:社会福祉法人くじら,111:琵琶湖くじら保育園,25:滋賀県,252069:草津市,保育園
29,kujira-kusatsu-hoikuen-kusats-sg.edumap.jp,6:社会福祉法人くじら,112:くじら小規模保育園(草津),25:滋賀県,252069:草津市,保育園
30,kujira-kusatsu-cho-hoikuen-kusatsu-sg.edumap.jp,6:社会福祉法人くじら,323:(仮称)草津くじら保育園,25:滋賀県,252069:草津市,保育園
31,kujira-oiwake-minami-hoikuen-kusatsu-sg.edumap.jp,6:社会福祉法人くじら,324:(仮称)追分南くじら保育園,25:滋賀県,252069:草津市,保育園
32,kujira-jidoclub-kusatsu-shiga.edumap.jp,6:社会福祉法人くじら,121:児童育成クラブくじら(草津),25:滋賀県,252069:草津市,小学校
33,kujira-haruta-gakudou-ritto-sg.edumap.jp,6:社会福祉法人くじら,91:治田くじら学童保育所,25:滋賀県,252085:栗東市,保育園
34,kujira-haruta-e-gakudo-ritto-sg.edumap.jp,6:社会福祉法人くじら,92:治田東くじら学童保育所,25:滋賀県,252085:栗東市,保育園
35,kujira-ritto-hoikuen-ritto-shiga.edumap.jp,6:社会福祉法人くじら,113:栗東くじら保育園,25:滋賀県,252085:栗東市,保育園
36,kujira-ritto-s-hoikuen-ritto-sg.edumap.jp,6:社会福祉法人くじら,114:栗東くじら小規模保育園,25:滋賀県,252085:栗東市,保育園
37,kujira-haruta-s-hoikuen-ritto-sg.edumap.jp,6:社会福祉法人くじら,115:治田くじら小規模保育園,25:滋賀県,252085:栗東市,保育園
38,kujira-mikumo-hoikuen-konan-sg.edumap.jp,6:社会福祉法人くじら,88:三雲くじら保育園,25:滋賀県,252115:湖南市,保育園
39,kujira-bodaiji-kodomoen-konan-sg.edumap.jp,6:社会福祉法人くじら,89:菩提寺くじらこども園,25:滋賀県,252115:湖南市,認定こども園
40,kujira-senriyama-hoikuen-suita.edumap.jp,6:社会福祉法人くじら,105:千里山くじら保育園,27:大阪府,272051:吹田市,保育園
41,kujira-uenomaru-hoikuen-akashi-hyogo.edumap.jp,6:社会福祉法人くじら,316:（仮称）上ノ丸くじら保育園,28:兵庫県,282031:明石市,保育園
42,kujira-umenoki-hoikuen-itami-hg.edumap.jp,6:社会福祉法人くじら,90:梅ノ木くじら保育園,28:兵庫県,282073:伊丹市,保育園
43,kujira-itam-hoikuen-itami-hyogo.edumap.jp,6:社会福祉法人くじら,103:伊丹くじら保育園,28:兵庫県,282073:伊丹市,保育園
44,kujira-itam-s-hoikuen-itami-hyg.edumap.jp,6:社会福祉法人くじら,104:伊丹くじら小規模保育園,28:兵庫県,282073:伊丹市,保育園
45,kujira-koushi-hatsukaichi-hirosm.edumap.jp,6:社会福祉法人くじら,86:廿日市保育園 (公私連携型保育所),34:広島県,342131:廿日市市,保育園
46,kujira-hatsukaichi-hoikuen-hirsm.edumap.jp,6:社会福祉法人くじら,102:廿日市くじら保育園,34:広島県,342131:廿日市市,保育園
47,kujira-torinoki-hoikuen-iyo-ehm.edumap.jp,6:社会福祉法人くじら,87:とりのきくじら保育園,38:愛媛県,382108:伊予市,保育園
48,kujira-penguin-s-hoikuen-iyo-ehm.edumap.jp,6:社会福祉法人くじら,98:伊予ぺんぎん小規模保育園,38:愛媛県,382108:伊予市,保育園
49,kujira-manbou-s-hoikuen-iyo-ehm.edumap.jp,6:社会福祉法人くじら,99:まんぼう小規模保育園,38:愛媛県,382108:伊予市,保育園
50,kujira-dayservice-iyo-ehm.edumap.jp,6:社会福祉法人くじら,100:放課後等デイサービスくじら,38:愛媛県,382108:伊予市,小中一貫校・義務教育学校
51,kujira-iyo-jido-club-iyo-ehime.edumap.jp,6:社会福祉法人くじら,122:伊予くじら児童クラブ,38:愛媛県,382108:伊予市,小学校
52,kujira-iyo-group-home-iyo-ehm.edumap.jp,6:社会福祉法人くじら,313:グループホーム伊予くじら,38:愛媛県,382108:伊予市,特別支援学校
53,kujira-iyo-jido-hattatsu-shien-center.edumap.jp,6:社会福祉法人くじら,314:児童発達支援センター伊予くじら,38:愛媛県,382108:伊予市,特別支援学校
54,kujira-iyo-kodomoen-iyo-ehm.edumap.jp,6:社会福祉法人くじら,97:伊予くじら認定こども園,38:愛媛県,382108:伊予市,認定こども園
55,kujira-jido-shinri-chiryo-fuku.edumap.jp,6:社会福祉法人くじら,123:福岡市立児童心理治療施設,40:福岡県,401331:福岡市中央区,特別支援学校
56,kujira-kodomoen-omura-nagasaki.edumap.jp,6:社会福祉法人くじら,63:くじら認定こども園,42:長崎県,422053:大村市,認定こども園
57,honcho-e-kawaguchi.edumap.jp,7:埼玉県川口市立本町小学校,29:埼玉県川口市立本町小学校,11:埼玉県,112038:川口市,小学校
58,takanosu-e.edumap.jp,8:砺波市立鷹栖小学校,27:砺波市立鷹栖小学校,16:富山県,162086:砺波市,小学校
59,kita.edumap.jp,9:伊東市教育委員会,33:伊東市立北中学校,22:静岡県,222089:伊東市,中学校
60,minami-jh.edumap.jp,9:伊東市教育委員会,34:伊東市立南中学校,22:静岡県,222089:伊東市,中学校
61,usami-jh.edumap.jp,9:伊東市教育委員会,49:伊東市立宇佐美中学校,22:静岡県,222089:伊東市,中学校
62,tajima.edumap.jp,9:伊東市教育委員会,50:伊東市立対島中学校,22:静岡県,222089:伊東市,中学校
63,kadono.edumap.jp,9:伊東市教育委員会,51:伊東市立門野中学校,22:静岡県,222089:伊東市,中学校
64,futo.edumap.jp,9:伊東市教育委員会,22:伊東市立富戸小学校,22:静岡県,222089:伊東市,小学校
65,kawana.edumap.jp,9:伊東市教育委員会,24:伊東市立川奈小学校,22:静岡県,222089:伊東市,小学校
66,ike.edumap.jp,9:伊東市教育委員会,25:伊東市立池小学校,22:静岡県,222089:伊東市,小学校
67,yawatano.edumap.jp,9:伊東市教育委員会,26:伊東市立八幡野小学校,22:静岡県,222089:伊東市,小学校
68,higashi.edumap.jp,9:伊東市教育委員会,31:伊東市立東小学校,22:静岡県,222089:伊東市,小学校
69,nishi.edumap.jp,9:伊東市教育委員会,32:伊東市立西小学校,22:静岡県,222089:伊東市,小学校
70,minami.edumap.jp,9:伊東市教育委員会,35:伊東市立南小学校,22:静岡県,222089:伊東市,小学校
71,ooike.edumap.jp,9:伊東市教育委員会,46:伊東市立大池小学校,22:静岡県,222089:伊東市,小学校
72,usami.edumap.jp,9:伊東市教育委員会,47:伊東市立宇佐美小学校,22:静岡県,222089:伊東市,小学校
73,asahi.edumap.jp,9:伊東市教育委員会,48:伊東市立旭小学校,22:静岡県,222089:伊東市,小学校
74,serita-tobu.edumap.jp,10:芹田東部保育園,23:芹田東部保育園,20:長野県,202011:長野市,保育園
75,maesawa-jhs-oshu-iwate.edumap.jp,12:奥州市立前沢中学校,45:奥州市立前沢中学校,03:岩手県,032158:奥州市,中学校
76,todukasyou1.edumap.jp,13:川口市立戸塚小学校,144:川口市立戸塚小学校,11:埼玉県,112038:川口市,小学校
77,daito-web.edumap.jp,14:福井市大東中学校,30:福井市大東中学校,18:福井県,182010:福井市,中学校
78,kawaguchisiritukitat-saitama.edumap.jp,15:川口市立北中学校,62:川口市立北中学校,11:埼玉県,112038:川口市,中学校
